"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          42,      -8.635564543,      -8.706217276,      -8.683841313,      -8.417747964,      -8.029775035
          0,           0,          43,      -8.678612354,      -8.763792247,      -8.742430378,      -8.476488459,      -8.073500923
          0,           0,          44,      -8.739042601,      -8.816304836,      -8.802149891,      -8.535860725,      -8.121856558
          0,           0,          45,      -8.801224739,      -8.871722896,      -8.863767938,      -8.596633962,       -8.17654242
          0,           0,          46,      -8.856277872,      -8.940213094,      -8.923929627,      -8.655894098,      -8.249572273
          0,           0,          47,      -8.898245402,      -8.993412757,      -8.985012903,       -8.71869719,      -8.292918344
          0,           0,          48,      -8.958046609,      -9.041066625,       -9.04634692,      -8.781800827,      -8.341175554
          0,           0,          49,      -9.019564825,      -9.089866052,      -9.106756585,      -8.845173422,      -8.395170008
          0,           0,          50,      -9.073031834,      -9.154292587,      -9.164661478,      -8.906637292,      -8.466808188
          0,           0,          51,      -9.114165043,      -9.201713651,      -9.224006779,      -8.970229172,      -8.509805278
          0,           0,          52,      -9.172337298,      -9.245329321,       -9.28113607,      -9.031506553,      -8.556781082
          0,           0,          53,      -9.232736463,      -9.292240393,      -9.331978338,      -9.088738703,      -8.609505828
